x;y
-134;120
-134;119
-134;117
-134;116
-134;114
-134;111
-134;109
-134;105
-134;102
-134;96
-134;92
-134;89
-134;87
-134;84
-134;79
-134;76
-134;70
-134;70
-134;64
-134;60
-134;57
-134;50
-134;44
-134;40
-134;37
-134;34
-134;29
-134;19
-134;14
-134;10
-134;5
-134;2
-134;0
-134;-5
-134;-8
-134;-11
-134;-20
-134;-25
-134;-29
-134;-34
-134;-39
-134;-45
-134;-47
-134;-52
-134;-55
-134;-57
-134;-60
-134;-63
-134;-68
-134;-71
-134;-74
-134;-76
-134;-81
-134;-84
-134;-86
-134;-89
-134;-92
-134;-96
-134;-102
-134;-109
-134;-110
-134;-112
-134;-114
-134;-117
-134;-119
-134;-119
-134;-119
-134;-119
-134;-119
-134;-119
