x;y
120;-119
120;-119
120;-119
120;-119
113;-119
108;-119
102;-119
97;-119
92;-119
81;-119
79;-119
77;-116
75;-112
73;-109
70;-101
68;-97
67;-95
64;-90
63;-88
62;-86
59;-84
51;-81
48;-80
44;-78
40;-77
33;-74
30;-71
27;-68
24;-64
17;-58
15;-55
12;-52
7;-47
5;-45
2;-42
0;-40
-3;-36
-5;-34
-7;-32
-11;-28
-15;-23
-17;-20
-19;-18
-23;-13
-26;-7
-30;0
-32;5
-32;8
-32;16
-32;21
-32;25
-32;26
-32;28
-33;32
-35;32
-37;32
-41;32
-43;32
-45;32
-49;32
-57;32
-61;32
-65;32
-68;32
-76;32
-80;32
-84;32
-91;32
-94;32
-96;37
-101;46
-103;50
-105;55
-109;62
-112;69
-114;73
-116;76
-119;84
-120;87
-123;94
-125;100
-125;104
-125;110
-125;112
-125;114
-125;118
-125;123
-125;125
-125;126
-125;126
-125;126
-125;126
