time;x;y;fx;fy
63;120;-120;0;-66
126;120;-120;0;-66
189;120;-120;0;-66
252;120;-120;0;-66
315;120;-120;0;-66
378;120;-120;0;-66
441;120;-120;0;-66
504;120;-120;0;-66
567;120;-120;0;0
630;120;-120;0;0
693;120;-120;0;0
756;120;-120;0;131
819;120;-118;0;131
882;120;-116;30;131
945;120;-113;30;131
1008;120;-111;30;131
1071;120;-109;30;131
1134;120;-108;30;131
1197;120;-101;0;332
1260;120;-94;0;332
1323;120;-90;0;332
1386;120;-86;0;332
1449;120;-83;0;332
1512;120;-79;0;383
1575;120;-75;0;383
1638;120;-72;0;383
1701;120;-65;0;383
1764;120;-61;0;383
1827;120;-57;0;368
1890;120;-54;0;368
1953;120;-46;0;368
2016;120;-43;0;368
2079;120;-39;0;368
2142;120;-35;0;354
2205;120;-28;0;354
2268;120;-24;0;354
2331;120;-21;0;354
2394;120;-17;0;354
2457;120;-10;0;305
2520;120;-6;0;305
2583;120;-2;0;305
2646;120;4;0;305
2709;120;8;0;305
2772;120;11;0;311
2835;120;15;0;311
2898;120;19;0;311
2961;120;26;0;311
3024;120;30;0;311
3087;120;33;0;311
3150;120;38;0;276
3213;120;47;0;276
3276;120;52;0;276
3339;120;57;0;276
3402;120;64;0;145
3465;120;66;0;145
3528;120;68;0;145
3591;120;70;0;145
3654;120;72;0;145
3717;120;77;0;222
3780;120;80;0;222
3843;120;83;0;222
3906;120;87;0;222
3969;120;93;0;222
4032;120;96;0;175
4095;120;99;0;175
4158;120;101;0;175
4221;120;106;0;175
4284;120;109;0;175
4347;120;111;0;186
4410;120;114;0;186
4473;120;119;0;186
4536;120;121;0;186
4599;120;124;0;186
4662;120;126;0;31
4725;120;126;0;31
4788;120;126;0;31
4851;120;126;0;31
4914;120;126;0;86
4977;120;126;0;86
5040;120;126;0;86
5103;120;126;0;86
5166;120;126;0;86
5229;120;126;0;0
5292;120;126;0;0
5355;120;126;0;0
5418;120;126;0;0
5481;120;126;0;0
5544;118;124;-134;-143
5607;115;121;-134;-143
5670;113;119;-134;-143
5733;111;117;-134;-143
5796;109;115;-134;-143
5859;104;110;-223;-217
5922;100;106;-223;-217
5985;97;103;-223;-217
6048;94;100;-223;-217
6111;88;94;-206;-176
6174;85;91;-206;-176
6237;82;89;-206;-176
6300;79;86;-206;-176
6363;73;81;-206;-176
6426;70;79;-201;-185
6489;67;76;-201;-185
6552;65;74;-201;-185
6615;62;71;-201;-185
6678;57;66;-201;-185
6741;54;64;-192;-148
6804;52;62;-192;-148
6867;47;58;-192;-148
6930;44;56;-192;-148
6993;41;54;-192;-148
7056;39;53;-206;-161
7119;33;48;-206;-161
7182;30;46;-206;-161
7245;27;44;-206;-161
7308;24;42;-206;-161
7371;18;39;-187;-126
7434;15;37;-187;-126
7497;13;35;-187;-126
7560;10;34;-187;-126
7623;8;32;-187;-126
7686;3;29;-167;-112
7749;1;28;-167;-112
7812;0;27;-167;-112
7875;-5;24;-167;-112
7938;-7;23;-167;-112
8001;-9;21;-183;-138
8064;-12;20;-183;-138
8127;-14;18;-183;-138
8190;-19;15;-183;-138
8253;-22;13;-183;-138
8316;-24;11;-184;-164
8379;-27;9;-184;-164
8442;-32;5;-184;-164
8505;-34;3;-184;-164
8568;-37;1;-184;-164
8631;-41;-4;-168;-226
8694;-44;-7;-168;-226
8757;-46;-11;-168;-226
8820;-48;-14;-168;-226
8883;-50;-17;-168;-226
8946;-54;-23;-131;-187
9009;-56;-26;-131;-187
9072;-57;-28;-131;-187
9135;-59;-31;-131;-187
9198;-63;-36;-101;-167
9261;-64;-38;-101;-167
9324;-65;-40;-101;-167
9387;-67;-44;-101;-167
9450;-68;-46;-101;-167
9513;-70;-48;-91;-151
9576;-70;-50;-91;-151
9639;-70;-53;-91;-151
9702;-70;-57;-91;-151
9765;-70;-59;-91;-151
9828;-70;-61;-91;-151
9891;-71;-62;-106;-144
9954;-73;-66;-106;-144
10017;-75;-68;-106;-144
10080;-76;-69;-106;-144
10143;-79;-74;-145;-193
10206;-81;-76;-145;-193
10269;-83;-79;-145;-193
10332;-85;-81;-145;-193
10395;-87;-84;-145;-193
10458;-90;-88;-97;-116
10521;-90;-90;-97;-116
10584;-90;-91;-97;-116
10647;-90;-93;-97;-116
10710;-90;-96;-97;-116
10773;-90;-97;-97;-96
10836;-90;-97;-64;-96
10899;-90;-97;-64;-96
10962;-90;-97;-64;-96
11025;-90;-97;-64;-96
11088;-90;-97;-64;-207
11151;-91;-103;-111;-207
11214;-92;-106;-111;-207
11277;-95;-112;-111;-207
11340;-95;-112;-111;-207
11403;-96;-115;-111;-37
11466;-98;-115;-76;-37
11529;-98;-115;-76;-37
11592;-98;-115;-76;-37
11655;-98;-115;-76;-42
11718;-98;-115;-76;-42
11781;-98;-115;-64;-42
11844;-98;-115;-64;-42
11907;-98;-115;-64;-42
11970;-98;-115;-64;-42
12033;-98;-115;-64;0
12096;-98;-115;-60;0
12159;-98;-115;-60;0
12222;-98;-115;-60;0
12285;-98;-115;-60;0
12348;-98;-115;-60;0
12411;-98;-115;-61;0
12474;-98;-115;-61;0
12537;-98;-115;-61;0
12600;-98;-115;-61;0
12663;-98;-115;-61;0
12726;-98;-115;-55;0
12789;-98;-115;-55;0
12852;-98;-115;-55;0
12915;-98;-115;-55;0
12978;-98;-115;-55;0
13041;-98;-115;-34;0
13104;-98;-115;-34;0
13167;-98;-115;-34;0
13230;-98;-115;-34;0
13293;-98;-115;0;-45
13356;-98;-115;0;-45
13419;-98;-115;0;-45
13482;-98;-115;0;-45
13545;-98;-115;0;-50
13608;-98;-115;0;-50
13671;-98;-115;87;-50
13734;-98;-115;87;-50
13797;-98;-115;87;-50
13860;-98;-115;87;0
13923;-98;-115;475;29
13986;-94;-115;475;29
14049;-90;-115;475;29
14112;-87;-115;475;29
14175;-83;-115;475;29
14238;-76;-115;475;29
14301;-72;-112;701;242
14364;-68;-109;701;242
14427;-61;-103;701;242
14490;-57;-100;701;242
14553;-49;-96;826;41
14616;-46;-96;826;41
14679;-46;-96;826;41
14742;-38;-96;826;41
14805;-35;-96;826;41
14868;-31;-96;826;41
14931;-34;-96;903;0
14994;-38;-96;903;0
15057;-42;-96;903;0
15120;-45;-96;903;0
15183;-52;-96;1108;0
15246;-56;-96;1108;0
15309;-60;-96;1108;0
15372;-63;-96;1108;0
15435;-67;-96;1108;0
15498;-73;-95;1230;273
15561;-71;-91;1230;273
15624;-69;-87;1230;273
15687;-66;-83;1230;273
15750;-62;-75;1230;273
15813;-61;-71;1108;0
15876;-65;-71;1108;0
15939;-68;-71;1108;0
16002;-75;-71;1108;-158
16065;-80;-73;1108;-158
16128;-84;-75;1108;-158
16191;-88;-77;863;-158
16254;-97;-81;863;-158
16317;-101;-83;863;-158
16380;-105;-84;863;-103
16443;-109;-85;863;-103
16506;-117;-88;888;-103
16569;-121;-89;888;-103
16632;-125;-90;888;-103
16695;-133;-95;888;-205
16758;-137;-98;888;-205
16821;-135;-101;528;-205
16884;-128;-107;528;-205
16947;-128;-107;528;-205
