Date;Time;x;y;fx;fy
25/11/2022;10:41:43.764;120;-120;0;-66
25/11/2022;10:41:43.795;120;-120;0;-66
25/11/2022;10:41:43.858;120;-120;0;-66
25/11/2022;10:41:43.920;120;-120;0;-66
25/11/2022;10:41:43.983;120;-120;0;-66
25/11/2022;10:41:44.045;120;-120;0;-66
25/11/2022;10:41:44.108;120;-120;0;-66
25/11/2022;10:41:44.170;120;-120;0;-66
25/11/2022;10:41:44.233;120;-120;0;0
25/11/2022;10:41:44.295;120;-120;0;0
25/11/2022;10:41:44.358;120;-120;0;0
25/11/2022;10:41:44.420;120;-120;0;131
25/11/2022;10:41:44.483;120;-118;0;131
25/11/2022;10:41:44.545;120;-116;30;131
25/11/2022;10:41:44.608;120;-113;30;131
25/11/2022;10:41:44.670;120;-111;30;131
25/11/2022;10:41:44.733;120;-109;30;131
25/11/2022;10:41:44.795;120;-108;30;131
25/11/2022;10:41:44.858;120;-101;0;332
25/11/2022;10:41:44.951;120;-94;0;332
25/11/2022;10:41:44.998;120;-90;0;332
25/11/2022;10:41:45.061;120;-86;0;332
25/11/2022;10:41:45.108;120;-83;0;332
25/11/2022;10:41:45.170;120;-79;0;383
25/11/2022;10:41:45.233;120;-75;0;383
25/11/2022;10:41:45.295;120;-72;0;383
25/11/2022;10:41:45.358;120;-65;0;383
25/11/2022;10:41:45.420;120;-61;0;383
25/11/2022;10:41:45.483;120;-57;0;368
25/11/2022;10:41:45.545;120;-54;0;368
25/11/2022;10:41:45.608;120;-46;0;368
25/11/2022;10:41:45.670;120;-43;0;368
25/11/2022;10:41:45.733;120;-39;0;368
25/11/2022;10:41:45.795;120;-35;0;354
25/11/2022;10:41:45.858;120;-28;0;354
25/11/2022;10:41:45.920;120;-24;0;354
25/11/2022;10:41:45.983;120;-21;0;354
25/11/2022;10:41:46.045;120;-17;0;354
25/11/2022;10:41:46.108;120;-10;0;305
25/11/2022;10:41:46.170;120;-6;0;305
25/11/2022;10:41:46.233;120;-2;0;305
25/11/2022;10:41:46.295;120;4;0;305
25/11/2022;10:41:46.358;120;8;0;305
25/11/2022;10:41:46.420;120;11;0;311
25/11/2022;10:41:46.483;120;15;0;311
25/11/2022;10:41:46.545;120;19;0;311
25/11/2022;10:41:46.608;120;26;0;311
25/11/2022;10:41:46.670;120;30;0;311
25/11/2022;10:41:46.733;120;33;0;311
25/11/2022;10:41:46.795;120;38;0;276
25/11/2022;10:41:46.858;120;47;0;276
25/11/2022;10:41:46.920;120;52;0;276
25/11/2022;10:41:46.983;120;57;0;276
25/11/2022;10:41:47.045;120;64;0;145
25/11/2022;10:41:47.108;120;66;0;145
25/11/2022;10:41:47.170;120;68;0;145
25/11/2022;10:41:47.233;120;70;0;145
25/11/2022;10:41:47.295;120;72;0;145
25/11/2022;10:41:47.358;120;77;0;222
25/11/2022;10:41:47.420;120;80;0;222
25/11/2022;10:41:47.483;120;83;0;222
25/11/2022;10:41:47.545;120;87;0;222
25/11/2022;10:41:47.608;120;93;0;222
25/11/2022;10:41:47.670;120;96;0;175
25/11/2022;10:41:47.733;120;99;0;175
25/11/2022;10:41:47.795;120;101;0;175
25/11/2022;10:41:47.858;120;106;0;175
25/11/2022;10:41:47.920;120;109;0;175
25/11/2022;10:41:47.983;120;111;0;186
25/11/2022;10:41:48.045;120;114;0;186
25/11/2022;10:41:48.108;120;119;0;186
25/11/2022;10:41:48.170;120;121;0;186
25/11/2022;10:41:48.233;120;124;0;186
25/11/2022;10:41:48.295;120;126;0;31
25/11/2022;10:41:48.373;120;126;0;31
25/11/2022;10:41:48.436;120;126;0;31
25/11/2022;10:41:48.498;120;126;0;31
25/11/2022;10:41:48.561;120;126;0;86
25/11/2022;10:41:48.623;120;126;0;86
25/11/2022;10:41:48.686;120;126;0;86
25/11/2022;10:41:48.749;120;126;0;86
25/11/2022;10:41:48.811;120;126;0;86
25/11/2022;10:41:48.874;120;126;0;0
25/11/2022;10:41:48.920;120;126;0;0
25/11/2022;10:41:48.983;120;126;0;0
25/11/2022;10:41:49.045;120;126;0;0
25/11/2022;10:41:49.108;120;126;0;0
25/11/2022;10:41:49.170;118;124;-134;-143
25/11/2022;10:41:49.249;115;121;-134;-143
25/11/2022;10:41:49.295;113;119;-134;-143
25/11/2022;10:41:49.374;111;117;-134;-143
25/11/2022;10:41:49.436;109;115;-134;-143
25/11/2022;10:41:49.499;104;110;-223;-217
25/11/2022;10:41:49.545;100;106;-223;-217
25/11/2022;10:41:49.624;97;103;-223;-217
25/11/2022;10:41:49.686;94;100;-223;-217
25/11/2022;10:41:49.749;88;94;-206;-176
25/11/2022;10:41:49.795;85;91;-206;-176
25/11/2022;10:41:49.874;82;89;-206;-176
25/11/2022;10:41:49.936;79;86;-206;-176
25/11/2022;10:41:49.999;73;81;-206;-176
25/11/2022;10:41:50.045;70;79;-201;-185
25/11/2022;10:41:50.139;67;76;-201;-185
25/11/2022;10:41:50.170;65;74;-201;-185
25/11/2022;10:41:50.249;62;71;-201;-185
25/11/2022;10:41:50.311;57;66;-201;-185
25/11/2022;10:41:50.389;54;64;-192;-148
25/11/2022;10:41:50.436;52;62;-192;-148
25/11/2022;10:41:50.499;47;58;-192;-148
25/11/2022;10:41:50.577;44;56;-192;-148
25/11/2022;10:41:50.608;41;54;-192;-148
25/11/2022;10:41:50.671;39;53;-206;-161
25/11/2022;10:41:50.749;33;48;-206;-161
25/11/2022;10:41:50.796;30;46;-206;-161
25/11/2022;10:41:50.889;27;44;-206;-161
25/11/2022;10:41:50.921;24;42;-206;-161
25/11/2022;10:41:50.999;18;39;-187;-126
25/11/2022;10:41:51.046;15;37;-187;-126
25/11/2022;10:41:51.124;13;35;-187;-126
25/11/2022;10:41:51.186;10;34;-187;-126
25/11/2022;10:41:51.233;8;32;-187;-126
25/11/2022;10:41:51.311;3;29;-167;-112
25/11/2022;10:41:51.358;1;28;-167;-112
25/11/2022;10:41:51.436;0;27;-167;-112
25/11/2022;10:41:51.514;-5;24;-167;-112
25/11/2022;10:41:51.546;-7;23;-167;-112
25/11/2022;10:41:51.624;-9;21;-183;-138
25/11/2022;10:41:51.671;-12;20;-183;-138
25/11/2022;10:41:51.733;-14;18;-183;-138
25/11/2022;10:41:51.796;-19;15;-183;-138
25/11/2022;10:41:51.874;-22;13;-183;-138
25/11/2022;10:41:51.936;-24;11;-184;-164
25/11/2022;10:41:51.983;-27;9;-184;-164
25/11/2022;10:41:52.046;-32;5;-184;-164
25/11/2022;10:41:52.124;-34;3;-184;-164
25/11/2022;10:41:52.186;-37;1;-184;-164
25/11/2022;10:41:52.264;-41;-4;-168;-226
25/11/2022;10:41:52.296;-44;-7;-168;-226
25/11/2022;10:41:52.374;-46;-11;-168;-226
25/11/2022;10:41:52.421;-48;-14;-168;-226
25/11/2022;10:41:52.483;-50;-17;-168;-226
25/11/2022;10:41:52.561;-54;-23;-131;-187
25/11/2022;10:41:52.624;-56;-26;-131;-187
25/11/2022;10:41:52.671;-57;-28;-131;-187
25/11/2022;10:41:52.733;-59;-31;-131;-187
25/11/2022;10:41:52.811;-63;-36;-101;-167
25/11/2022;10:41:52.889;-64;-38;-101;-167
25/11/2022;10:41:52.936;-65;-40;-101;-167
25/11/2022;10:41:52.999;-67;-44;-101;-167
25/11/2022;10:41:53.077;-68;-46;-101;-167
25/11/2022;10:41:53.108;-70;-48;-91;-151
25/11/2022;10:41:53.186;-70;-50;-91;-151
25/11/2022;10:41:53.233;-70;-53;-91;-151
25/11/2022;10:41:53.296;-70;-57;-91;-151
25/11/2022;10:41:53.374;-70;-59;-91;-151
25/11/2022;10:41:53.421;-70;-61;-91;-151
25/11/2022;10:41:53.483;-71;-62;-106;-144
25/11/2022;10:41:53.561;-73;-66;-106;-144
25/11/2022;10:41:53.639;-75;-68;-106;-144
25/11/2022;10:41:53.671;-76;-69;-106;-144
25/11/2022;10:41:53.749;-79;-74;-145;-193
25/11/2022;10:41:53.796;-81;-76;-145;-193
25/11/2022;10:41:53.874;-83;-79;-145;-193
25/11/2022;10:41:53.952;-85;-81;-145;-193
25/11/2022;10:41:53.983;-87;-84;-145;-193
25/11/2022;10:41:54.046;-90;-88;-97;-116
25/11/2022;10:41:54.124;-90;-90;-97;-116
25/11/2022;10:41:54.171;-90;-91;-97;-116
25/11/2022;10:41:54.233;-90;-93;-97;-116
25/11/2022;10:41:54.296;-90;-96;-97;-116
25/11/2022;10:41:54.374;-90;-97;-97;-96
25/11/2022;10:41:54.436;-90;-97;-64;-96
25/11/2022;10:41:54.499;-90;-97;-64;-96
25/11/2022;10:41:54.561;-90;-97;-64;-96
25/11/2022;10:41:54.624;-90;-97;-64;-96
25/11/2022;10:41:54.671;-90;-97;-64;-207
25/11/2022;10:41:54.749;-91;-103;-111;-207
25/11/2022;10:41:54.811;-92;-106;-111;-207
25/11/2022;10:41:54.905;-95;-112;-111;-207
25/11/2022;10:41:54.936;-95;-112;-111;-207
25/11/2022;10:41:54.999;-96;-115;-111;-37
25/11/2022;10:41:55.077;-98;-115;-76;-37
25/11/2022;10:41:55.108;-98;-115;-76;-37
25/11/2022;10:41:55.186;-98;-115;-76;-37
25/11/2022;10:41:55.249;-98;-115;-76;-42
25/11/2022;10:41:55.296;-98;-115;-76;-42
25/11/2022;10:41:55.358;-98;-115;-64;-42
25/11/2022;10:41:55.436;-98;-115;-64;-42
25/11/2022;10:41:55.499;-98;-115;-64;-42
25/11/2022;10:41:55.561;-98;-115;-64;-42
25/11/2022;10:41:55.608;-98;-115;-64;0
25/11/2022;10:41:55.686;-98;-115;-60;0
25/11/2022;10:41:55.733;-98;-115;-60;0
25/11/2022;10:41:55.796;-98;-115;-60;0
25/11/2022;10:41:55.874;-98;-115;-60;0
25/11/2022;10:41:55.937;-98;-115;-60;0
25/11/2022;10:41:55.999;-98;-115;-61;0
25/11/2022;10:41:56.046;-98;-115;-61;0
25/11/2022;10:41:56.108;-98;-115;-61;0
25/11/2022;10:41:56.171;-98;-115;-61;0
25/11/2022;10:41:56.233;-98;-115;-61;0
25/11/2022;10:41:56.296;-98;-115;-55;0
25/11/2022;10:41:56.374;-98;-115;-55;0
25/11/2022;10:41:56.437;-98;-115;-55;0
25/11/2022;10:41:56.499;-98;-115;-55;0
25/11/2022;10:41:56.546;-98;-115;-55;0
25/11/2022;10:41:56.608;-98;-115;-34;0
25/11/2022;10:41:56.671;-98;-115;-34;0
25/11/2022;10:41:56.733;-98;-115;-34;0
25/11/2022;10:41:56.796;-98;-115;-34;0
25/11/2022;10:41:56.874;-98;-115;0;-45
25/11/2022;10:41:56.937;-98;-115;0;-45
25/11/2022;10:41:56.999;-98;-115;0;-45
25/11/2022;10:41:57.062;-98;-115;0;-45
25/11/2022;10:41:57.108;-98;-115;0;-50
25/11/2022;10:41:57.171;-98;-115;0;-50
25/11/2022;10:41:57.233;-98;-115;87;-50
25/11/2022;10:41:57.312;-98;-115;87;-50
25/11/2022;10:41:57.390;-98;-115;87;-50
25/11/2022;10:41:57.421;-98;-115;87;0
